,Street Name,From,To,Day of Month,Time
523,piedmont,2301.0,2499.0,4th Tue,PM
524,piedmont,2500.0,2698.0,4th Thurs,AM
525,piedmont,2501.0,2699.0,4th Fri,AM
526,piedmont,2700.0,2898.0,4th Mon,AM
527,piedmont,2701.0,2899.0,4th Wed,AM
528,piedmont,2900.0,2998.0,3rd Fri,AM
529,piedmont,2901.0,2999.0,4th Tue,AM
530,pine,2900.0,2998.0,4th Tue,AM
531,pine,2901.0,2999.0,3rd Fri,AM
532,poe,1300.0,1398.0,2nd Mon,AM
533,poe,1301.0,1399.0,2nd Mon,AM
534,posen,1538.0,1598.0,3rd Wed,PM
535,posen,1537.0,1599.0,3rd Thurs,PM
536,prince,1400.0,1498.0,2nd Tue,AM
537,prince,1401.0,1499.0,2nd Wed,AM
538,prince,1500.0,1898.0,1st Tue,AM
539,prince,1599.0,1821.0,1st Mon,AM
540,prince,2000.0,2398.0,3rd Tue,AM
541,prince,2001.0,2499.0,3rd Mon,AM
542,prince,2700.0,2998.0,4th Tue,AM
543,prince,2701.0,2899.0,3rd Fri,AM
544,prospect,2350.0,2498.0,4th Wed,AM
545,prospect,2301.0,2499.0,4th Tue,PM
546,no q streets,0,0,N/A,N/A
547,regent,2500.0,2698.0,4th Fri,AM
